
   • Packages in scope: @mist/api, @mist/web, @mist/worker
   • Running start in 3 packages
   • Remote caching disabled

@mist/api:start: [api] GET / 200 5ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET /search 200 4ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 5ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET /search 200 4ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET /search 200 4ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 5ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 21ms
@mist/api:start: [api] GET / 200 20ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 9ms
@mist/api:start: [api] GET / 200 8ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 6ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 3ms
